mac,time,9c:d9:17:88:77:93,9c:d9:17:86:63:97,14:1a:a3:db:32:14,zone
00:ae:fa:44:13:45,2015-12-30 17:38:40,-66,-100,-100,C,MurataMa
00:c1:41:34:13:37,2015-12-30 17:30:40,-100,-100,-54,A,
00:c1:41:34:13:37,2015-12-30 17:30:50,-100,-42,-52,F,
00:c1:41:34:13:37,2015-12-30 17:31:00,-100,-44,-52,F,
00:c1:41:34:13:37,2015-12-30 17:31:20,-100,-40,-52,F,
00:c1:41:34:13:37,2015-12-30 17:31:30,-100,-100,-54,A,
00:c1:41:34:13:37,2015-12-30 17:31:40,-100,-100,-52,A,
00:c1:41:34:13:37,2015-12-30 17:32:40,-100,-40,-52,F,
00:c1:41:34:13:37,2015-12-30 17:33:30,-100,-100,-50,A,
00:c1:41:34:13:37,2015-12-30 17:33:40,-100,-44,-50,F,
00:c1:41:34:13:37,2015-12-30 17:34:00,-100,-46,-54,F,
00:c1:41:34:13:37,2015-12-30 17:34:30,-100,-46,-50,F,
00:c1:41:34:13:37,2015-12-30 17:34:40,-100,-48,-48,A,
00:c1:41:34:13:37,2015-12-30 17:35:40,-100,-42,-48,F,
00:c1:41:34:13:37,2015-12-30 17:35:50,-100,-46,-48,A,
00:c1:41:34:13:37,2015-12-30 17:36:10,-100,-46,-52,F,
00:c1:41:34:13:37,2015-12-30 17:37:20,-100,-46,-50,F,
00:c1:41:34:13:37,2015-12-30 17:37:40,-100,-46,-48,A,
00:c1:41:34:13:37,2015-12-30 17:38:10,-100,-42,-48,F,
00:c1:41:34:13:37,2015-12-30 17:38:20,-100,-42,-48,F,
00:c1:41:34:13:37,2015-12-30 17:38:30,-100,-40,-50,F,
00:c1:41:34:13:37,2015-12-30 17:38:40,-100,-40,-48,F,
00:c1:41:34:13:37,2015-12-30 17:38:50,-100,-46,-48,A,
00:c1:41:34:13:37,2015-12-30 17:39:00,-100,-42,-46,F,
00:c1:41:34:13:37,2015-12-30 17:39:10,-100,-46,-40,A,
00:c1:41:34:13:37,2015-12-30 17:39:20,-100,-46,-48,A,
00:c1:41:34:13:37,2015-12-30 17:39:30,-100,-46,-46,A,
00:c1:41:34:13:37,2015-12-30 17:39:40,-100,-44,-48,F,
00:c1:41:34:13:37,2015-12-30 17:39:50,-100,-44,-48,F,
00:c1:41:34:13:37,2015-12-30 17:40:00,-100,-44,-48,F,
00:c1:41:34:13:37,2015-12-30 17:40:10,-100,-44,-48,F,
00:c1:41:34:13:37,2015-12-30 17:40:30,-100,-42,-48,F,
00:c1:41:34:13:37,2015-12-30 17:40:40,-100,-42,-48,F,
00:c1:41:34:13:37,2015-12-30 17:40:50,-100,-42,-46,F,
00:c1:41:34:13:37,2015-12-30 17:41:00,-100,-42,-48,F,
00:c1:41:34:13:37,2015-12-30 17:41:10,-100,-42,-46,F,
00:c1:41:34:13:37,2015-12-30 17:41:20,-100,-44,-48,F,
00:c1:41:34:13:37,2015-12-30 17:41:30,-100,-42,-44,A,
00:c1:41:34:13:37,2015-12-30 17:41:40,-100,-44,-46,A,
00:c1:41:34:13:37,2015-12-30 17:42:00,-100,-42,-50,F,
00:c1:41:34:13:37,2015-12-30 17:42:10,-100,-44,-50,F,
00:c1:41:34:13:37,2015-12-30 17:42:20,-100,-100,-50,A,
00:c1:41:34:13:37,2015-12-30 17:42:40,-100,-46,-100,F,
00:c1:41:34:13:37,2015-12-30 17:43:00,-100,-46,-100,F,
00:c1:41:34:13:37,2015-12-30 17:43:20,-100,-44,-54,F,
